"","Category","dbID","siteID","SiteName","SubTitle","Lat","Lon","Desc","Sview","Sviewlat","Sviewlong","Heading","Zoom","Pitch","top","mapzoom","sponsor","Categ","ImageN","Image1","Image2","Image3","Image4"
"11","Historic","11","C11","Big Chute Marine Railway","","44.88466667",-79.675,"Big Chute Marine Railway is an engineering marvel constructed where the Trent Seven Canal has to cross high ground. It was completed in 1917 and raise boats over a rock step 18 metres high. It is the only marine railway still in use in North America.","y",NA,NA,33.42,0,0.55,"n",16,"",3,NA,"sitePictures/c11a.png","sitePictures/c11b.png","sitePictures/c11c.png","sitePictures/c11d.png"
"12","Nature","12","C12","Wye Marsh","","44.733978",-79.84441,"Wye Marsh is a large wetland near the town of Midland. The Wye River flows through it before it enters Georgian Bay. Wye Marsh is also a wildlife reserve that harbours many species, including the rare Trumpeter Swan. Visit the Wye Marsh Wildlife center on Highway 12 and walk through the wetland.","n",NA,NA,NA,NA,NA,"n",16,"",4,NA,"sitePictures/c12a.png","sitePictures/c12b.png","sitePictures/c12c.png","sitePictures/c12d.png"
"13","Historic","13","C13","Sainte-Marie among the Hurons","","44.74583333",-79.85216667,"Close by is the reconstructed 17th-century village of Sainte- Marie among the Hurons which was the western terminus of the early fur trade. The original village, part of which was made of <a href=""/def/limestone"">Limestone</a> from Ontario's first quarry, was burned in 1649 by missionaries before they abandoned it to invading Iroquois warriors.","n",NA,NA,NA,NA,NA,"n",16,"",3,NA,"sitePictures/c13a.png","sitePictures/c13b.png","sitePictures/c13c.png","sitePictures/c13d.png"
"14","Earth History","14","C14","World Class Wasaga Beach","","44.524678",-80.01946,"Ontario boasts the world's longest freshwater beach. Wasaga Beach at the southern end of Georgian Bay is 18 kilometres long and forms a wide gently sloping surface covered by shallow water with prominent offshore ridges (bars) parallel to the coastline. Inland of the modern beach is a great swath, some 7 kilometres wide, of old raised beach<a href=""/def/_sand ""> Sand </a>deposits forming part of an ancient barrier island and lagoon complex now high and dry.","y",NA,NA,309.15,0,-17.62,"n",16,"",1,NA,"sitePictures/c14a.png","sitePictures/c14b.png","sitePictures/c14c.png","sitePictures/c14d.png"
"15","Earth History","15","C15","Ardtrea","An Island in Glacial Lake Algonquin","44.691386",-79.428194,"Eleven thousand years ago, glacial Lake Algonquin was truly an enormous ""Great Lake"" ponded up in the Huron and Superior basins by the last great <a href=""/def/ice_sheet"">Ice sheet</a> as it retreated north. Its prominent beaches and wave-cut bluffs are still preserved today. These old shorelines are nowhere better seen than 2 kilometres north of Orillia, just west of Lake Couchiching. The area formed a prominent Island in glacial Lake Algonquin as can be clearly in the satellite image. ","n",NA,NA,NA,NA,NA,"n",14,"",1,NA,"sitePictures/c15a.png","sitePictures/c15b.png","sitePictures/c15c.png","sitePictures/c15d.png"
"16","Historic","16","C16","The Sacred Grandfather Rock","And the Mnijikaning Fish Weir","44.60366667",-79.36783333,"A major piece of Ontario's prehistory is hidden below the new Atherley Bridge in Orillia that brings Highway 12 over the Narrows. The Narrows is a short, fast flowing strait connecting Lake Simcoe with Lake Couchiching. Preserved along its floor is a 5,000-year-old fish weir. This was constructed by Huron people to guide fish into shallow water where they could be caught. It was made of small branches woven around stout logs that were rammed into the stony riverbed. Portions of the weir can still be seen under the bridge at low water. The Huron regarded the Narrows as a sacred place because of the large numbers of fish that gathered there. Scared 'grandfather' or 'grandmother' rocks are common to many aboriginal cultures worldwide.","n",NA,NA,NA,NA,NA,"n",16,"",3,NA,"sitePictures/c16a.png","sitePictures/c16b.png","sitePictures/c16c.png","sitePictures/c16d.png"
"17","Nature","17","C17","Dorset Firetower","","45.25216667",-78.89366667,"The Dorset Fire tower is 33 metres high, it was built in 1967 and offers great views on Lake Of Bays and Dorset and the surrounding Canadian <a href=""/def/shield"">Shield</a>. ","n",NA,NA,NA,NA,NA,"n",16,"",4,2,"sitePictures/c17a.png","sitePictures/c17b.png","sitePictures/c17c.png","sitePictures/c17d.png"
"18","Earth History","18","C18","CMBBZ Ontario's Most Notorious Fault","Miner's Bay","44.820043",-78.773695,"The CMBBZ is marked on the ground by the highly deformed rocks of the Denna Lake Structural Complex. The spectacular road cut at Miners Bay on the southeast shore of Gull Lake, 14 kilometres south of Minden, shows a superb <a href=""/def/outcrop"">Outcrop</a> of highly deformed <a href=""/def/marble"">Marble</a>.","y",NA,NA,73.61,0,-3.38,"n",15,"a",1,NA,"sitePictures/c18a.png","sitePictures/c18b.png","sitePictures/c18c.png","sitePictures/c18d.png"
"19","Earth History","19","C19","CMBBZ Moore Lake","","44.798188",-78.814011,"A small roadside <a href=""/def/outcrop"">Outcrop</a> on Highway 35, some 500 metres south of Trilogy Trail records a major event in Earth history. Among the gray colored <a href=""/def/gneisses"">Gneisses</a> which are 1 billion years old, small dikes of a gray colored <a href=""/def/igneous_rock"">Igneous rock</a> called trachy<a href=""/def/andesite"">Andesite</a> which are only 180 million years old. They record a surge in volcanic activity when North America broke apart from Europe and the North Atlantic Ocean began to open. This event marks the breakup of the <a href=""/def/supercontinent"">Supercontinent</a> <a href=""/def/pangea"">Pangea</a>.","y",NA,NA,74.68,0,-1.97,"n",16,"a",1,NA,"sitePictures/c19a.png","sitePictures/c19b.png","sitePictures/c19c.png","sitePictures/c19d.png"
"20","Earth History","20","C20","Granite Barrens of the Southern Shield","Last Chance Territory'","44.78479",-79.169798,"Drive north from Southern Ontario and the abrupt contrast between the densely settled farmland to the south and the barren and largely vacant <a href=""/def/shield"">Shield</a> couldn't be greater.  The famous Ontario geologist A.P. Coleman wrote in 1913: 'After passing the boundary... the traveler is struck by the change of scenery, rounded hills of reddish <a href=""/def/gneiss"">Gneiss</a> rising irregularly above valleys occupied by a lake; for the region stretching two thousand miles to the north of the <a href=""/def/paleozoic"">Paleozoic</a> border is typical 'rocky lake' country, with thousands of rock-rimmed bodies of water.' Today for many Ontarians this part of the <a href=""/def/shield"">Shield</a> is 'cottage country' and a chance for year round recreation but it wasn't always like that; in the nineteenth century settlers tried to make a living farming the '<a href=""/def/granite"">Granite</a> barrens' of the <a href=""/def/shield"">Shield</a>; it was back breaking work and largely unsuccessful.  ","n",NA,NA,NA,NA,NA,"n",14,"",1,NA,"sitePictures/c20a.png","sitePictures/c20b.png","sitePictures/c20c.png","sitePictures/c20d.png"
"21","Historic","21","C21","Dartmoor","A Settler's S(tor)y","44.725981",-79.104685,"A 'tor' is a distinctive landform resembling a pile of boulders made out of hard, massive crystalline rocks such as <a href=""/def/granite"">Granite</a>. They normally form in warm humid climates and are very common through much of the American southwest such as shown here, Africa and parts of Australia. <a href=""/def/granites"">Granites</a> are cut by deep <a href=""/def/joints"">Joints</a> (<a href=""/def/fractures"">Fractures</a>) that slowly widen as minerals (especially feldspar) in the surrounding rock rot and decompose into soft<a href=""/def/_clay ""> Clay </a>(called 'grus'). Eventually this leaves large 'core stones' of intact <a href=""/def/granite"">Granite</a> surrounded by soft<a href=""/def/_clay ""> Clay </a>(See <a href=""/N59"">N59</a>). Change climate (to a wetter one) and the<a href=""/def/_clay ""> Clay </a>gets washed out leaving enormous piles of large boulders perched precariously on top of one another. Tors are common in southwest England (on Dartmoor) and this one at Dartmoor, Ontario, was almost certainly named by a settler after the distinctive <a href=""/def/granite"">Granite</a> landforms of their homeland. They are very rare in Ontario because the last <a href=""/def/ice_sheets"">Ice sheets</a> ran over them, knocked them down, and carried the boulders southwards as glacial <a href=""/def/erratics"">Erratics</a>. Dartmoor in England is famous for its <a href=""/def/granite"">Granite</a> tors. The same name was given by an early settler in Ontario to his farm which has a tor in his backyard. ","y",NA,NA,2.54,0,-3.46,"n",16,"",3,NA,"sitePictures/c21a.png","sitePictures/c21b.png","sitePictures/c21c.png","sitePictures/c21d.png"
"22","Earth History","22","C22","Rohallion Hill","Surrounded by the Iapetus Ocean","44.58533333",-79.0505,"The waters of the Iapetus Ocean waters that flooded Ontario some 500 million years ago were warm and clear and supported extensive <a href=""/def/limestone"">Limestone</a> reefs (See sites <a href=""/C25"">C25</a>, <a href=""/C27"">C27</a>, <a href=""/C31"">C31</a>). Rounded <a href=""/def/precambrian"">Precambrian</a> islands surrounded by <a href=""/def/limestone"">Limestone</a> reefs studded the coastline. One clear example of such an island still poking up through <a href=""/def/ordovician"">Ordovician</a> <a href=""/def/limestone"">Limestone</a> can be seen at Rohallion, just east of Lake Simcoe, on the northeast shore of Canal Lake. It is referred to as an '<a href=""/def/inlier"">Inlier</a>' where older rock is surrounded by younger <a href=""/def/strata"">Strata</a>.","n",NA,NA,NA,NA,NA,"n",14,"",1,NA,"sitePictures/c22a.png","sitePictures/c22b.png","sitePictures/c22c.png","sitePictures/c22d.png"
"23","Historic","23","C23","Kirkfield Lift Lock","","44.59016",-78.989403,"The Kirkfield Lift Lock is the highest point on the Trent Seven Canal (At 256 metres above sea level). It uses hydraulics to lift boats 15 metres, and at the time, it was regarded as a feat of engineering given the harsh Canadian climate. It was completed in 1907. See <a href=""/C42"">C42</a> Peterborough Lift Lock. ","y",NA,NA,185.01,0,-1.89,"n",16,"",3,NA,"sitePictures/c23a.png","sitePictures/c23b.png","sitePictures/c23c.png","sitePictures/c23d.png"
"24","Nature","24","C24","Carden Alvars","","44.61033333",-79.00016667,"An alvar is a bare, treeless <a href=""/def/limestone"">Limestone</a> plain. Alvar is a Scandinavian word based on 'alvaret' a large barren <a href=""/def/limestone"">Limestone</a> plain on the island of Öland in the southern Baltic Sea just off the coast of Sweden. Seemingly alvars are devoid of much life; soils are thin and bare rock is widely exposed. In fact, they support an amazing variety of wildlife and plants. <a href=""/def/limestone"">Limestone</a> alvars occur in Southern Ontario in a broad belt up to 40 kilometres wide and 200 kilometres long between Georgian Bay and Kingston immediately south of the <a href=""/def/shield"">Shield</a> creating a unique but threatened ecosystem.","n",NA,NA,NA,NA,NA,"n",16,"",4,1,"sitePictures/c24a.png","sitePictures/c24b.png","sitePictures/c24c.png","sitePictures/c24d.png"
"25","Fossils","25","C25","Kirkfield Limestone","","44.48833333",-78.9455,"Southern and central Ontario can truly be called the ""land of <a href=""/def/limestones"">Limestones</a>"". <a href=""/def/ordovician"">Ordovician</a> <a href=""/def/limestone"">Limestone</a> is present across a large part of the <a href=""/def/province"">Province</a>, from the <a href=""/def/shield"">Shield</a> to the north, Lake Ontario to the south, the Niagara <a href=""/def/escarpment"">Escarpment</a> to the west, and Ottawa to the east. Some 500 million years ago Ontario was located much farther south than it is today, sitting at about 150 north latitude. At this time, warm tropical waters from the Iapetus Ocean flooded Ontario. Shallow tropical water lapped over the Canadian <a href=""/def/shield"">Shield</a>, which poked up in places in the form of small islands (See Site <a href=""/C22"">C22</a>).","n",NA,NA,NA,NA,NA,"n",16,"",2,NA,"sitePictures/c25a.png","sitePictures/c25b.png","sitePictures/c25c.png","sitePictures/c25d.png"
"26","Earth History","26","C26","Sandhills Kame","When Ice Came and Went","44.458",-78.90966667,"A '<a href=""/def/_kame ""> Kame </a>' is the name geologists give to an isolated hill of<a href=""/def/_sand ""> Sand </a>and <a href=""/def/gravel"">Gravel</a> dumped by a meltwater river issuing from the margin of a melting <a href=""/def/ice_sheet"">Ice sheet</a>. A great example of a <a href=""/def/_kame ""> Kame </a> left about 11,000 years ago when the last Canadian <a href=""/def/ice_sheet"">Ice sheet</a> (the Laurentide <a href=""/def/ice_sheet"">Ice sheet</a>) was retreating northwards, can be seen at the appropriately named Sandhills just south of Kirkfield.","n",NA,NA,NA,NA,NA,"n",16,"",1,NA,"sitePictures/c26a.png","sitePictures/c26b.png","sitePictures/c26c.png","sitePictures/c26d.png"
"27","Fossils","27","C27","Zion","","44.485117",-78.81455,"Seven kilometres southwest of Fenelon Falls and 500 metres north of the cemetrey, you'll find a splendid roadside <a href=""/def/outcrop"">Outcrop</a> of grainstones dominated by broken crinoidal stems. Gently dipping beds (""cross beds"") likely record strong seafloor currents that were created by large, ancient storms. The <a href=""/def/outcrop"">Outcrop</a> lies on the edge of a small north facing ""cuesta"" (<a href=""/def/escarpment"">Escarpment</a>).","n",NA,NA,NA,NA,NA,"n",16,"",2,NA,"sitePictures/c27a.png","sitePictures/c27b.png","sitePictures/c27c.png","sitePictures/c27d.png"
"28","Earth History","28","C28","Omemee Esker","","44.277",-78.596,"Glacial landforms called ""<a href=""/def/eskers"">Eskers</a>"" (an old Irish word!) are long sinuous hills left when subglacial tunnel systems became choked with sediment: examples are in the classic Norwood <a href=""/def/esker"">Esker</a> (Site <a href=""/C41"">C41</a>) and the Omemee <a href=""/def/esker"">Esker</a>.","n",NA,NA,NA,NA,NA,"y",14,"",1,NA,"sitePictures/c28a.png","sitePictures/c28b.png","sitePictures/c28c.png","sitePictures/c28d.png"
"29","Historic","29","C29","Ganaraska","The Dustbowl of Ontario","44.0945",-78.57366667,"In the 1930's much of the Oak Ridges <a href=""/def/moraine"">Moraine</a> had been cleared, the result of unbridled deforestation for creation of farmland. Being composed largely of<a href=""/def/_sand ""> Sand </a>and <a href=""/def/gravel"">Gravel</a>, the <a href=""/def/moraine"">Moraine</a> became badly eroded by water and wind. The result was a picture of devastation. Public concern prompted the<a href=""/def/_formation ""> Formation </a>of the Ontario Conservation Authorities and reforestation of the region. Today, the Ganaraska watershed has been revitalized into a popular recreation area, a forest reborn for cross-country skiing, hiking, mountain biking, and off-roading.","n",NA,NA,NA,NA,NA,"n",16,"",3,NA,"sitePictures/c29a.png","sitePictures/c29b.png","sitePictures/c29c.png","sitePictures/c29d.png"
"30","Nature","30","C30","Sandbanks","Ontario's Sahara","43.89833333",-77.27716667,"Sandbanks Provincial Park is located just south of Belleville on the shores of Lake Ontario. It is one of the largest freshwater dune systems in the world. Strong winds have built an impressive<a href=""/def/_series ""> Series </a>of windblown ('a<a href=""/def/eolian"">Eolian</a>') dunes on a sandy<a href=""/def/_spit ""> Spit </a>that crosses Wellington Bay, sealing West Lake and East Lake from Lake Ontario. Some of these desert-like dunes are as high as 25 metres. They are home to an array of rare plants that helps stabilize the very fragile dunes and shifting sand.  ","n",NA,NA,NA,NA,NA,"n",15,"",4,NA,"sitePictures/c30a.png","sitePictures/c30b.png","sitePictures/c30c.png","sitePictures/c30d.png"
"31","Fossils","31","C31","Trenton Limestone","","44.126443",-77.5942,"On Highway 6 near Kirkfield (Site <a href=""/C25"">C25</a>), and at Trenton <a href=""/def/limestone"">Limestone</a> forms thin beds (called ""flags"") rich in broken fossils that are separated by <a href=""/def/shale"">Shale</a>. This<a href=""/def/_formation ""> Formation </a>was also the result of large tropical storms that disturbed the tropical quiet. The turbulent water swept fossil<a href=""/def/_debris ""> Debris </a>into distinct storm layers. The layers between represent fair weather periods where dirty sediment-laden sea water left","y",NA,NA,343.43,0,3.7,"n",14,"",2,NA,"sitePictures/c31a.png","sitePictures/c31b.png","sitePictures/c31c.png","sitePictures/c31d.png"
"32","Rocks and Minerals","32","C32","Bleasdell Boulder","Ontario's Largest Glacial Erratic","44.14783333",-77.583,"Little Norway Park commemorates the Norwegian training base built at this park in World War II. The three ton boulder that sits center on the flower<a href=""/def/_bed ""> Bed </a>is a <a href=""/def/precambrian"">Precambrian</a> glacial <a href=""/def/erratic"">Erratic</a> (See Sites <a href=""/C32"">C32</a>, <a href=""/C45"">C45</a>, <a href=""/S105"">S105</a>) that was shipped all the way from Norway and unveiled by Crown Prince Harald in 1976. What is ironic is this boulder is from a part of Norway that a billion years ago formed part of the Canadian <a href=""/def/shield"">Shield</a> found right here in Ontario. Thus it has returned home; a billion year homecoming journey.","n",NA,NA,NA,NA,NA,"y",16,"",5,1,"sitePictures/c32a.png","sitePictures/c32b.png","sitePictures/c32c.png","sitePictures/c32d.png"
"33","Rocks and Minerals","33","C33","Ontario's first Gold Rush","Richardson Gold mine and the Eldorado Copper mine 1866-1893","44.588141",-77.52011,"This is the birthplace of hard rock gold mining in Ontario and the <a href=""/def/province"">Province</a>'s first gold rush. It saw the beginning of mining as a profession; lessons learned here were applied elsewhere as<a href=""/def/_mineral ""> Mineral </a>exploration moved into Ontario's northlands (Sites <a href=""/C33"">C33</a> & <a href=""/N3"">N3</a>). The site is open to the public as a reminder of when Ontarian's first realised the significance of all that rock across the <a href=""/def/shield"">Shield</a> and the wealth that might lie within.","y",NA,NA,267.8,0,2.71,"n",16,"",5,NA,"sitePictures/c33a.png","sitePictures/c33b.png","sitePictures/c33c.png","sitePictures/c33d.png"
"34","Rocks and Minerals","34","C34","Deloro Granite on Highway 7","","44.4945",-77.56883333,"Deloro (meaning 'from gold' in Spanish) refers to the historic mining of gold around the margins of a large <a href=""/def/igneous_intrusion"">Igneous Intrusion</a> called a <a href=""/def/granite"">Granite</a> pluton. The <a href=""/def/granite"">Granite</a> is dominated by the pink<a href=""/def/_mineral ""> Mineral </a>perthite is a type of feldspar named in 1843 after the town of Perth located farther east on Highway 7. The minerals amazonite (green) and moonstone (white) are gem quality forms of perthite. These rocks were mined on and off between 1870 and 1961. ","y",NA,NA,356.55,0,0.16,"n",16,"a",5,NA,"sitePictures/c34a.png","sitePictures/c34b.png","sitePictures/c34c.png","sitePictures/c34d.png"
"35","Rocks and Minerals","35","C35","Marmoraton Iron Mine","The Big Hole","44.48183333",-77.65916667,"The Marmoraton Iron Mine is a great place to see billion-year-old rusty-coloured Grenville <a href=""/def/province"">Province</a> rocks overlain by 470 million-year-old <a href=""/def/limestone"">Limestone</a> and <a href=""/def/sandstone"">Sandstone</a>. An observation point with interpretive signs affords an excellent view of the pit and the <a href=""/def/stratigraphy"">Stratigraphy</a> of its sidewalls. Public access to the deep pit is not permitted.  ","n",NA,NA,NA,NA,NA,"y",14,"a",5,1,"sitePictures/c35a.png","sitePictures/c35b.png","sitePictures/c35c.png","sitePictures/c35d.png"
"36","Earth History","36","C36","Ash Beds at Marmora","Catastrophic Volcanic Eruptions in the Ordovician","44.480233",-77.6875,"At Marmora, as Highway 7 descends eastward into the town, thin horizons of volcanic ash thrown out of <a href=""/def/ordovician"">Ordovician</a> volcanoes occur within <a href=""/def/limestone"">Limestone</a>. These were a sign of things to come. The extensive <a href=""/def/limestone"">Limestone</a> reefs and shoals that survived from about 600 through to 440 million years ago began to die off when eastern North America collided with the continent of Baltica (Taconic <a href=""/def/orogeny"">Orogeny</a>). The geological quiet was shattered with violent volcanic eruptions from the Taconic Mountains near where the Appalachian Mountains stand day. The influx of<a href=""/def/_mud ""> Mud </a>and<a href=""/def/_sand ""> Sand </a>killed the reefs (Site <a href=""/S4"">S4</a>).  ","y",NA,NA,136.02,0,-0.94,"n",14,"a",1,1,"sitePictures/c36a.png","sitePictures/c36b.png","sitePictures/c36c.png","sitePictures/c36d.png"
"37","Rocks and Minerals","37","C37","Cordova Gabbro","","44.54063",-77.78636,"The Cordova <a href=""/def/gabbro"">Gabbro</a> is a <a href=""/def/coarse_grained"">Coarse grained</a> dark coloured rock that cooled slowly underground which allowed crystals to grow to large sizes before it solidified.  This occurred when deep<a href=""/def/_mantle ""> Mantle </a>rocks melted and rose to shallow depths during the Grenville <a href=""/def/orogeny"">Orogeny</a> when large tectonic plates collided about a billion years ago during the<a href=""/def/_formation ""> Formation </a>of the <a href=""/def/supercontinent"">Supercontinent</a> <a href=""/def/rodinia"">Rodinia</a>.","n",NA,NA,NA,NA,NA,"n",14,"",5,NA,"sitePictures/c37a.png","sitePictures/c37b.png","sitePictures/c37c.png","sitePictures/c37d.png"
"38","Earth History","38","C38","Big Knob Unconformity","","44.5285",-77.718,"The Big Knob <a href=""/def/unconformity"">Unconformity</a> (Site <a href=""/C38"">C38</a>) is a large rock knob found just south of Beaver Creek Road. It is a wonderful example of an <a href=""/def/unconformity"">Unconformity</a> that displays red <a href=""/def/ordovician"">Ordovician</a>-aged and quartz <a href=""/def/veins"">Veins</a> along the outer margin of the pluton. These were mined between 1870 and 1961. The<a href=""/def/_mineral ""> Mineral </a>perthite is a type of feldspar named in 1843 after the town of Perth located farther east on Highway 7. The minerals amazonite (green) and moonstone (white) are gem quality forms of perthite. Deloro, meaning ""from gold"" in Spanish, is a small community just east of Marmora that developed to service the small gold mines scattered around the margins of the pluton.","n",NA,NA,NA,NA,NA,"n",14,"a",1,1,"sitePictures/c38a.png","sitePictures/c38b.png","sitePictures/c38c.png","sitePictures/c38d.png"
"39","Earth History","39","C39","Volcanic Ash Falls","","44.4865",-77.793,"A billion years ago this part of Ontario was the scene of a gigantic collision of Tectonic plates. To the north lay ancestral or ancient North America and to the South was ancestral South America. This event is called the Grenville <a href=""/def/orogeny"">Orogeny</a>, and was marked by high mountains much like the Himalayas today. Large volcanoes spewed volcanic ash which geologists call '<a href=""/def/tuff"">Tuff</a>'.","n",NA,NA,NA,NA,NA,"n",13,"",1,NA,"sitePictures/c39a.png","sitePictures/c39b.png","sitePictures/c39c.png","sitePictures/c39d.png"
